	alpha1	alpha2	specular1	eta2	k2	bsdf1	bsdf2
548	0.439558823529	0.364698306067	0.0875862068966	0.0622898522023	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
549	0.99	0.568903363302	0.0489655172414	0.0172728399842	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
550	0.0629411764706	0.0626321255774	0.184137931034	0.182646638026	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
551	0.381617647059	0.328936240452	0.0489655172414	0.0373713895094	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
552	0.729264705882	0.495793089461	0.135862068966	0.0663732054321	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
553	0.0339705882353	0.0339110401028	0.0586206896552	0.058563492316	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
554	0.903088235294	0.547700214866	0.02	0.00783934955826	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
555	0.700294117647	0.485555999251	0.0489655172414	0.0248383244955	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
556	0.903088235294	0.547700213593	0.0489655172414	0.0191927464693	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
557	0.0919117647059	0.0909513127957	0.068275862069	0.0670310285559	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
558	0.323676470588	0.28922547949	0.203448275862	0.165919766458	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
559	0.352647058824	0.309587017912	0.145517241379	0.114876955652	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
560	0.149852941176	0.145824129092	0.0779310344828	0.0742264623792	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
561	0.178823529412	0.17210746751	0.184137931034	0.171936125028	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
562	0.961029411765	0.562056291654	0.02	0.00730396281939	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
563	0.642352941176	0.463436352487	0.116551724138	0.0637686832856	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
564	0.903088235294	0.547700285921	0.0972413793103	0.0381148272463	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
565	0.671323529412	0.47478227906	0.0586206896552	0.0308806280105	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
566	0.932058823529	0.555005252227	0.106896551724	0.0404346213999	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
567	0.323676470588	0.289225540411	0.135862068966	0.110800602922	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
568	0.265735294118	0.245410543251	0.0875862068966	0.0758736651319	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
569	0.0629411764706	0.0626322576071	0.116551724138	0.115608189684	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
570	0.236764705882	0.221959247625	0.174482758621	0.155337026566	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
571	0.265735294118	0.245410571926	0.02	0.0173255729597	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
572	0.265735294118	0.245410582387	0.068275862069	0.0591454932743	-100	Mitsuba-Ward	Mitsuba-Pbr-AS
